Name	Hex	Decimal
VIEW_E_LAST	0x8004014F	-2147221169
VIEW_S_FIRST	0x00040140	262464
VIEW_S_LAST	0x0004014F	262479
VIEW_E_DRAW	0x80040140	-2147221184
REGDB_E_FIRST	0x80040150	-2147221168
REGDB_E_LAST	0x8004015F	-2147221153
REGDB_S_FIRST	0x00040150	262480
REGDB_S_LAST	0x0004015F	262495
REGDB_E_READREGDB	0x80040150	-2147221168
REGDB_E_WRITEREGDB	0x80040151	-2147221167
REGDB_E_KEYMISSING	0x80040152	-2147221166
REGDB_E_INVALIDVALUE	0x80040153	-2147221165
REGDB_E_CLASSNOTREG	0x80040154	-2147221164
REGDB_E_IIDNOTREG	0x80040155	-2147221163
REGDB_E_BADTHREADINGMODEL	0x80040156	-2147221162
CAT_E_FIRST	0x80040160	-2147221152
CAT_E_LAST	0x80040161	-2147221151
CAT_E_CATIDNOEXIST	0x80040160	-2147221152
CAT_E_NODESCRIPTION	0x80040161	-2147221151
CS_E_FIRST	0x80040164	-2147221148
CS_E_LAST	0x8004016F	-2147221137
CS_E_PACKAGE_NOTFOUND	0x80040164	-2147221148
CS_E_NOT_DELETABLE	0x80040165	-2147221147
CS_E_CLASS_NOTFOUND	0x80040166	-2147221146
CS_E_INVALID_VERSION	0x80040167	-2147221145
CS_E_NO_CLASSSTORE	0x80040168	-2147221144
CS_E_OBJECT_NOTFOUND	0x80040169	-2147221143
CS_E_OBJECT_ALREADY_EXISTS	0x8004016A	-2147221142
CS_E_INVALID_PATH	0x8004016B	-2147221141
CS_E_NETWORK_ERROR	0x8004016C	-2147221140
CS_E_ADMIN_LIMIT_EXCEEDED	0x8004016D	-2147221139
CS_E_SCHEMA_MISMATCH	0x8004016E	-2147221138
CS_E_INTERNAL_ERROR	0x8004016F	-2147221137
CACHE_E_FIRST	0x80040170	-2147221136
CACHE_E_LAST	0x8004017F	-2147221121
CACHE_S_FIRST	0x00040170	262512
CACHE_S_LAST	0x0004017F	262527
CACHE_E_NOCACHE_UPDATED	0x80040170	-2147221136
OLEOBJ_E_FIRST	0x80040180	-2147221120
OLEOBJ_E_LAST	0x8004018F	-2147221105
OLEOBJ_S_FIRST	0x00040180	262528
OLEOBJ_S_LAST	0x0004018F	262543
OLEOBJ_E_NOVERBS	0x80040180	-2147221120
OLEOBJ_E_INVALIDVERB	0x80040181	-2147221119
CLIENTSITE_E_FIRST	0x80040190	-2147221104
CLIENTSITE_E_LAST	0x8004019F	-2147221089
CLIENTSITE_S_FIRST	0x00040190	262544
CLIENTSITE_S_LAST	0x0004019F	262559
INPLACE_E_NOTUNDOABLE	0x800401A0	-2147221088
INPLACE_E_NOTOOLSPACE	0x800401A1	-2147221087
INPLACE_E_FIRST	0x800401A0	-2147221088
INPLACE_E_LAST	0x800401AF	-2147221073
INPLACE_S_FIRST	0x000401A0	262560
INPLACE_S_LAST	0x000401AF	262575
ENUM_E_FIRST	0x800401B0	-2147221072
ENUM_E_LAST	0x800401BF	-2147221057
ENUM_S_FIRST	0x000401B0	262576
ENUM_S_LAST	0x000401BF	262591
CONVERT10_E_FIRST	0x800401C0	-2147221056
CONVERT10_E_LAST	0x800401CF	-2147221041
CONVERT10_S_FIRST	0x000401C0	262592
CONVERT10_S_LAST	0x000401CF	262607
CONVERT10_E_OLESTREAM_GET	0x800401C0	-2147221056
CONVERT10_E_OLESTREAM_PUT	0x800401C1	-2147221055
CONVERT10_E_OLESTREAM_FMT	0x800401C2	-2147221054
CONVERT10_E_OLESTREAM_BITMAP_TO_DIB	0x800401C3	-2147221053
CONVERT10_E_STG_FMT	0x800401C4	-2147221052
CONVERT10_E_STG_NO_STD_STREAM	0x800401C5	-2147221051
CONVERT10_E_STG_DIB_TO_BITMAP	0x800401C6	-2147221050
CLIPBRD_E_FIRST	0x800401D0	-2147221040
CLIPBRD_E_LAST	0x800401DF	-2147221025
CLIPBRD_S_FIRST	0x000401D0	262608
CLIPBRD_S_LAST	0x000401DF	262623
CLIPBRD_E_CANT_OPEN	0x800401D0	-2147221040
CLIPBRD_E_CANT_EMPTY	0x800401D1	-2147221039
CLIPBRD_E_CANT_SET	0x800401D2	-2147221038
CLIPBRD_E_BAD_DATA	0x800401D3	-2147221037
CLIPBRD_E_CANT_CLOSE	0x800401D4	-2147221036
